repo,n_issues_sampled,n_never_responded,never_responded_rate,median_response_hours,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,log_response_hours
metasploit-framework,100,36,0.36,35.74194444444444,0.668810014030381,0.4098360655737705,318,17,4,79,5.765191102784844,4.382026634673881,0.05345911949685535,1.6094379124341003,3.603919002840652
juice-shop,100,21,0.21,7.1530555555555555,0.8902799552794232,0.819672131147541,58,9,1,140,4.07753744390572,4.948759890378168,0.15517241379310345,0.6931471805599453,2.0983927717818744
flask,100,22,0.22,0.2697222222222222,0.6243438750292691,0.2459016393442623,138,8,1,32,4.9344739331306915,3.4965075614664802,0.057971014492753624,0.6931471805599453,0.23879815388754297
terraform,100,1,0.01,4.630277777777778,0.9190458265163766,0.918032786885246,377,55,4,562,5.934894195619588,6.333279628139691,0.14588859416445624,1.6094379124341003,1.7281587797937632
FFmpeg,0,0,,,0.9445804520678962,0.9672131147540984,601,86,4,410,6.400257445308821,6.018593214496234,0.14309484193011648,1.6094379124341003,
aspnetcore,100,26,0.26,2.17875,0.71489890178309,0.360655737704918,454,21,5,37,6.12029741895095,3.6375861597263857,0.046255506607929514,1.791759469228055,1.1564880377541924
Marlin,100,6,0.06,7.317777777777778,0.7624395199919911,0.4262295081967213,311,18,2,41,5.7430031878094825,3.7376696182833684,0.05787781350482315,1.0986122886681098,2.1183951251400637
jekyll,100,34,0.34,11.782222222222222,0.889046367043461,0.8852459016393442,126,13,1,388,4.844187086458591,5.963579343618446,0.10317460317460317,0.6931471805599453,2.548055316636517
PHPMailer,100,6,0.06,1.0075,0.8035379139988229,0.5737704918032787,65,10,1,115,4.189654742026425,4.7535901911063645,0.15384615384615385,0.6931471805599453,0.6968901668387797
go,100,1,0.01,0.1172222222222222,0.7105393331015678,0.3770491803278688,1079,35,14,46,6.984716320118266,3.8501476017100584,0.03243744207599629,2.70805020110221,0.11084544588839597
core,100,2,0.02,0.0030555555555555,0.7444371181707646,0.3770491803278688,1826,21,8,30,7.510430556378006,3.4339872044851463,0.011500547645125958,2.1972245773362196,0.0030508968332563233
bootstrap,100,5,0.05,75.71472222222222,0.8630245209581516,0.6885245901639344,257,27,1,89,5.552959584921617,4.499809670330265,0.10505836575875487,0.6931471805599453,4.340093635484952
dotfiles,100,11,0.11,8.084444444444445,0.2566170120615672,0.0491803278688524,13,1,1,5,2.6390573296152584,1.791759469228055,0.07692307692307693,0.6931471805599453,2.206563549119175
